Distance(m) deviation
1385.6995934903803 20.744152357619143
1383.5688355195462 24.704094107767474
1379.5782241545628 16.629070614105785
1377.0973189409658 16.58242959609015
1375.009160934419 20.543172225567076
1370.8314487982282 22.464631237406692
1366.2648136197533 20.378778496051353
1362.5852135909286 18.309602015509455
1357.5773867950136 22.21545487174626
1356.088846844439 24.18747032067546
1355.0878789933004 24.168652125074047
1351.0125041116296 22.092035077298632
1349.4982278099765 22.063566682827556
1347.7480950490583 22.030664186922294
1341.3109726173814 19.909646285206776
1339.453218533563 21.874720508430983
1338.5738111962953 23.85818765049035
1335.4874600110647 19.80016424820802
1330.9812643642001 21.715447770046964
1326.1529514602496 17.62467548745269
1316.4079441700687 19.441469350397284
1314.8688988298643 15.412535298001444
1315.6111257508937 11.426489164116802
1313.8026202494157 19.39248926068902
1313.9439895581568 21.395147003693353
1313.4138191518284 21.385179800054374
1313.349026573333 21.383961699578663
1313.349026573333 17.383961699578663
1313.6082099261262 15.388834346611162
1313.6730111958157 27.390052610481334
1313.7378146372942 31.391270915181124
1313.6730111958157 23.390052610481334
1313.6730111958157 17.390052610481334
1313.6082099261262 11.388834346611162
1312.767767342046 19.373034026030467
1311.5177789975694 19.349534245154302
1310.3483887689574 17.327549708856395
1306.4196160491144 21.253688781723355
1305.6673671535768 25.239546502487244
1300.3167809610854 27.13895548206841
1297.4378433753047 25.084831455455728
1294.4879131601951 17.029372767411672
1287.017494798223 14.888928902206587
1284.0564476758334 16.833261216305658
1281.3613928549305 14.782594185672693
1273.2604448740476 18.630296363632098
1270.7798902777533 18.583661937221763
1265.2997174618877 14.480634688283487
1263.4545683766505 14.445945885481024
1262.4290242652037 14.426665656185833
1215.1625304286251 21.538055572058155
1199.2003965002884 5.2379674542054175
1194.6033067812084 5.151542167486724
1189.8711596916453 11.062577802202924
1187.7812387854306 9.023287289166092
1180.529982433752 12.886963669754536
1177.0804163675953 10.822111827710785
1174.9904633521242 12.782820711019937
1169.6506059531505 16.682431391919224
1162.6352755918006 10.550543181125846
1159.3421229228738 10.488631910950033
1154.7148895701814 10.401639923919404
1152.5702127840657 12.361320000340442
1149.2885740261968 12.299625191692499
1147.4163733368352 12.2644278187325
1142.477894543337 18.171584417414735
1139.9379590022668 20.12383362924261
1117.673038358999 9.705253121149184
1115.448157698913 9.663425364739567
1044.4946029870928 8.329498536157345
1044.4946029870928 8.329498536157345
824.206527332572 -9.811917286147647
821.7628020867783 -9.857859320768569
816.425883716917 -7.9581933861219625
815.9033971530087 -9.968016133523435
814.9894961553061 -11.985197472280248
813.9211706709568 -8.005281991386013
813.3723638819805 -8.015599559018767
815.1053841400357 -3.9830187781673345
815.3931738741669 -1.9776083311656691
816.1674392602654 -7.9630521419070135
816.5181870371152 -9.95645808370223
817.4273931441394 -7.939365008890178
813.381857928246 -8.015421070948975
811.708392462885 -12.046882221697757
805.3282310248278 -12.166829256733237
802.9522456196767 -8.21149778235008
800.8246657799369 -8.25149628333719
796.0235409967443 -12.341757429261207
794.5917895051668 -12.368674357302865
789.9145502615482 -12.456606455082891
788.471163884303 -16.4837421189751
785.3889896766769 -12.541686994078475
784.5190793694342 -12.558041307854637
780.3599121137116 -14.63623365226222
778.9164048409415 -16.6633715889903
776.2792149204412 -12.712950759495712
775.1587891069134 -12.734014764790032
775.1587891069134 -8.734014764790032
752.5802592811821 -9.158491125513777
748.3784046868733 -9.237485991886786
755.0431843436263 -5.112188134339831
749.2683409682406 -9.220755189797075
745.5214836212875 -7.291196107919802
735.8794536140819 -9.472466272055257
731.957522087196 -7.546198584760717
728.1647951617213 -5.617501850959641
725.6698073007052 -3.664407622746751
723.0924720908378 -3.712861524692258
720.3781675278881 -5.763890450475714
717.8657620380592 -7.811123673684492
715.7108127427418 -9.85163672043646
712.9744254537554 -5.9030808014694
710.245279582503 -7.954388743848938
707.2491290037873 -14.010716374728801
704.016532754134 -14.071489184222287
696.2440990749312 -10.2176109373913
692.869249279094 -10.28105811355303
689.7861200141018 -10.33902094373488
686.5063920898568 -12.400679828710693
684.0577898498476 -10.446713550822864
680.8483748273057 -10.507050553246657
678.4664762668375 -8.551830246183457
676.3769442089273 -6.591113448872164
674.3811416258525 -8.628634537433982
670.5517939891434 -8.700626273004104
667.5893347133317 -2.7563205073893613
665.4647517876786 -2.796262666391641
662.8020758409401 -4.84632097419032
661.1186414247309 -4.877969541215066
613.2288608392099 0.22170258377714447
598.814842967457 -4.049280952211802
600.0142372437873 -4.026732339816803
595.8683437813884 -2.104675136909904
591.7867791311794 -4.181408552333835
590.6088614522998 -4.203553404696763
591.2475494567539 -6.191546070213036
588.5259996510516 -6.24271120656023
582.4176713414665 -0.35754777878042887
581.519336224799 -0.3744364789737773
552.1184988012131 5.072827777462805
551.0383124086449 9.052520273282525
545.5542816168846 4.94942049439743
538.6209152121033 6.819073205987536
1428.9330952635062 7.556942190953919
1423.011434824238 9.445614974695673
1420.377579819278 9.39609850060242
1410.7331898746659 23.21478396964372
1407.2203173297933 23.148741965800113
1395.5322030967593 18.929005418219077
1392.7487064066036 18.87667568044415
1389.8547477186855 12.822269257111287
1380.5088360854518 14.646566118406497
1377.491532019451 16.58984080196568
1371.8098661817871 16.483025484217592
1369.6090236749978 16.441649645089967
1367.7171085998045 22.406081641676323
1367.6251632796502 24.404353069657418
1366.5371581742625 14.383898573676134
1366.2222531984455 12.377978360130783
1365.7427861691654 8.368964379980312
1365.6713433979671 16.367621255881772
1365.349726715023 16.361574862242435
1364.8995530564937 8.353111597462089
1364.963857168475 6.354320514767323
1364.8995530564937 8.353111597462089
1364.8280752048306 8.351767813850813
1364.7637698628032 12.350558873420695
1364.835251081232 10.35190272032716
1364.835251081232 10.35190272032716
1364.7709512446283 10.350693883399003
1364.7709512446283 12.350693883399003
1364.7709512446283 12.350693883399003
1364.7709512446283 10.350693883399003
1364.6994666592288 4.3493499731934975
1333.068639575365 7.754690424016857
